"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"1.09.2025","Ievads planimetrijā.
SR: Ievads un info par matemātikas mācīšanos. Zina, kas ir planimetrija, zina ģeometrijas pamatjēdzienus.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"1.09.2025","Ievads planimetrijā.
SR: Ievads un info par matemātikas mācīšanos. Zina, kas ir planimetrija, zina ģeometrijas pamatjēdzienus.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"2.09.2025","Ievads planimetrijā.
SR: Ievads un info par matemātikas mācīšanos. Zina, kas ir planimetrija, zina ģeometrijas pamatjēdzienus.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"2.09.2025","Ievads planimetrijā.
SR: Ievads un info par matemātikas mācīšanos. Zina, kas ir planimetrija, zina ģeometrijas pamatjēdzienus.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"5.09.2025","Ievads planimetrijā.
SR: Ievads un info par matemātikas mācīšanos. Zina, kas ir planimetrija, zina ģeometrijas pamatjēdzienus.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"5.09.2025","Taisne, tās apzīmējumi, īpašības.
SR: Zina, kas ir taisne un kā to apzīmē, zina punkta un taisnes savstarpējo novietojumu, zina taišņu savstarpējo novietojumu.","Mācību grāmata 16.lpp 6., 7., 9. uzdevumi (j;apilda klades otrā pusē, kā vienojāmies).
8.09.2025","Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"8.09.2025","Taisne, stars, nogrieznis.
SR: Atpazīst zīmējumā un prot uzzīmēt un apzīmēt taisni, satru un nogriezni.
Zina to iepējamo savstarpējo novietojumu. Lieto piederības zīmi, pierakastot punkta un taisnes savstarpējo novietojumu. Zina jēdzienu krustpunkts.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"8.09.2025","Taisne, stars, nogrieznis.Uzdevumu risināšana.
SR: Atpazīst zīmējumā un prot uzzīmēt un apzīmēt taisni, satru un nogriezni.
Zina to iepējamo savstarpējo novietojumu. Lieto piederības zīmi, pierakastot punkta un taisnes savstarpējo novietojumu. Zina jēdzienu krustpunkts.","21.lpp 23.,25.,32. uzdevumi
9.09.2025","Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"9.09.2025","Vienādas figūras. Nogriežņa garums.
SR: Zina, kas ir vienādas figūras, atpazīst tās zīmējumā, prot uzzīmēt. Zina, kas ir nogriežņa garums, viduspunktas, Prot aprēķināt nogriežņa garumu.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"9.09.2025","Vienādas figūras. Nogriežņa garums. uzdevumu risināšana.
SR: Zina, kas ir vienādas figūras, atpazīst tās zīmējumā, prot uzzīmēt. Zina, kas ir nogriežņa garums, viduspunktas, Prot aprēķināt nogriežņa garumu.","Mācību grāmatā 26.lpp 39.,45.,47. uzdevumi.
12.09.2025","Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
