program_id,concept_label,confidence,topic_id,topic_title,first_taught_date,first_taught_week,first_taught_month,taught_until_date,taught_until_week,last_tested_date
lv.avg.2025-26.8a,PolynomialAndRoots,0.7,lv.avg.2025-26.8a#T01,Monomi un polinomi.,2025-09-01,1,9,2025-09-23,4,2025-09-23
lv.avg.2025-26.8a,IrrationalAndReals,0.8,lv.avg.2025-26.8a#T02,Kvadrātsakne.,2025-09-25,4,9,2025-10-14,7,2025-10-14
lv.avg.2025-26.8a,DiffOfSquaresFactoring,0.9,lv.avg.2025-26.8a#T03,Polinomu sadalīšana reizinātājos.,2025-10-16,7,10,2025-11-10,11,2025-11-10
lv.avg.2025-26.8a,SquareOfSumIdentity,0.9,lv.avg.2025-26.8a#T03,Polinomu sadalīšana reizinātājos.,2025-10-16,7,10,2025-11-10,11,2025-11-10
lv.avg.2025-26.8a,FactoredForm,1.0,lv.avg.2025-26.8a#T03,Polinomu sadalīšana reizinātājos.,2025-10-16,7,10,2025-11-10,11,2025-11-10
lv.avg.2025-26.8a,AreaConcept,1.0,lv.avg.2025-26.8a#T04,Trijstūra un riņķa laukums.,2025-11-11,11,11,2025-12-11,15,2025-12-11
lv.avg.2025-26.8a,ArcOfCircle,0.6,lv.avg.2025-26.8a#T04,Trijstūra un riņķa laukums.,2025-11-11,11,11,2025-12-11,15,2025-12-11
lv.avg.2025-26.8a,BasicSolids,0.8,lv.avg.2025-26.8a#T04,Trijstūra un riņķa laukums.,2025-11-11,11,11,2025-12-11,15,2025-12-11
lv.avg.2025-26.8a,VolumeConcept,0.7,lv.avg.2025-26.8a#T04,Trijstūra un riņķa laukums.,2025-11-11,11,11,2025-12-11,15,2025-12-11
lv.avg.2025-26.8a,DataStatistics,1.0,lv.avg.2025-26.8a#T05,Ievads statistikā.,2025-12-11,15,12,2026-01-16,20,2026-01-16
lv.avg.2025-26.8a,ArithmeticMean,0.7,lv.avg.2025-26.8a#T05,Ievads statistikā.,2025-12-11,15,12,2026-01-16,20,2026-01-16
lv.avg.2025-26.8a,QuadraticFunction,1.0,lv.avg.2025-26.8a#T06,Kvadrātfunkcija un kvadrātvienādojumi.,2026-01-16,20,1,2026-02-17,25,2026-02-17
lv.avg.2025-26.8a,QuadraticEquation,1.0,lv.avg.2025-26.8a#T06,Kvadrātfunkcija un kvadrātvienādojumi.,2026-01-16,20,1,2026-02-17,25,2026-02-17
lv.avg.2025-26.8a,VietasFormulas,0.8,lv.avg.2025-26.8a#T06,Kvadrātfunkcija un kvadrātvienādojumi.,2026-01-16,20,1,2026-02-17,25,2026-02-17
lv.avg.2025-26.8a,ParameterConcept,0.5,lv.avg.2025-26.8a#T06,Kvadrātfunkcija un kvadrātvienādojumi.,2026-01-16,20,1,2026-02-17,25,2026-02-17
lv.avg.2025-26.8a,PythagoreanTheorem,1.0,lv.avg.2025-26.8a#T07,Pitagora teorēma.,2026-02-19,25,2,2026-03-06,27,2026-03-06
lv.avg.2025-26.8a,TriangleCongruence,0.6,lv.avg.2025-26.8a#T07,Pitagora teorēma.,2026-02-19,25,2,2026-03-06,27,2026-03-06
lv.avg.2025-26.8a,TrigonometricFunctions,0.3,lv.avg.2025-26.8a#T08,Trigonometrija taisnleņķa trijstūrī.,2026-03-06,27,3,2026-03-27,30,2026-03-27
lv.avg.2025-26.8a,ParallelogramProperties,1.0,lv.avg.2025-26.8a#T09,Paralelograma īpašības.,2026-03-31,31,3,2026-04-24,34,2026-04-24
lv.avg.2025-26.8a,QuadrilateralFamilies,0.8,lv.avg.2025-26.8a#T09,Paralelograma īpašības.,2026-03-31,31,3,2026-04-24,34,2026-04-24
lv.avg.2025-26.8a,Polygon,0.5,lv.avg.2025-26.8a#T09,Paralelograma īpašības.,2026-03-31,31,3,2026-04-24,34,2026-04-24
lv.avg.2025-26.8a,QuadrilateralFamilies,0.6,lv.avg.2025-26.8a#T10,Trapeces īpašības.,2026-04-24,34,4,2026-05-15,37,
lv.avg.2025-26.8a,AreaConcept,0.5,lv.avg.2025-26.8a#T10,Trapeces īpašības.,2026-04-24,34,4,2026-05-15,37,
